sample,if,ifInOctets,ifInUcastPkts,ifInNUcastPkts,ifOutOctets,ifOutUcastPkts,ifOutNUcastPkts
0,1,0,0,0,0,0,0
0,2,301102,3429,0,193770,1973,0
0,3,100617,727,0,21811,103,0
0,6,83329,612,0,23691,123,0
0,7,241685,3334,0,193156,1964,0
0,9,0,0,0,0,0,0
0,10,0,0,0,126397,1427,0
0,11,0,0,0,126397,1427,0
1,1,0,0,0,0,0,0
1,2,254349,2806,0,196358,1913,0
1,3,140748,1003,0,17519,92,0
1,6,119668,889,0,19439,112,0
1,7,208535,2746,0,195784,1904,0
1,9,0,0,0,0,0,0
1,10,0,0,0,87159,918,0
1,11,0,0,0,87159,918,0
2,1,0,0,0,0,0,0
2,2,288413,3260,0,199515,2033,0
2,3,122041,890,0,15979,83,0
2,6,102661,778,0,17899,103,0
2,7,231239,3163,0,198855,2023,0
2,9,0,0,0,0,0,0
2,10,0,0,0,108920,1197,0
2,11,0,0,0,108920,1197,0
3,1,0,0,0,0,0,0
3,2,305475,3490,0,199252,1986,0
3,3,106064,751,0,24081,112,0
3,6,87924,634,0,26001,132,0
3,7,245081,3393,0,198592,1976,0
3,9,0,0,0,0,0,0
3,10,0,0,0,130837,1488,0
3,11,0,0,0,130733,1487,0
4,1,0,0,0,0,0,0
4,2,271889,2905,0,200921,2022,0
4,3,109711,792,0,29306,133,0
4,6,91467,676,0,31226,153,0
4,7,224617,2844,0,200261,2012,0
4,9,0,0,0,0,0,0
4,10,0,0,0,87272,920,0
4,11,0,0,0,87272,920,0
5,1,0,0,0,0,0,0
5,2,275285,2979,0,193454,1974,0
5,3,99095,721,0,21605,101,0
5,6,81798,605,0,23525,121,0
5,7,221507,2880,0,192794,1964,0
5,9,0,0,0,0,0,0
5,10,0,0,0,91723,976,0
5,11,0,0,0,91827,977,0
6,1,0,0,0,0,0,0
6,2,273407,3077,0,195623,2015,0
6,3,96362,697,0,18380,104,0
6,6,80732,601,0,19916,120,0
6,7,223680,3016,0,195009,2006,0
6,9,0,0,0,0,0,0
6,10,0,0,0,98247,1070,0
6,11,0,0,0,98247,1070,0
7,1,0,0,0,0,0,0
7,2,312970,3593,0,207757,2095,0
7,3,103626,734,0,21743,114,0
7,6,86286,620,0,23663,134,0
7,7,251422,3500,0,207183,2086,0
7,9,0,0,0,0,0,0
7,10,0,0,0,131316,1494,0
7,11,0,0,0,131316,1494,0
8,1,0,0,0,0,0,0
8,2,299060,3421,0,198956,2016,0
8,3,100228,706,0,17969,92,0
8,6,83234,591,0,19889,112,0
8,7,239632,3324,0,198296,2006,0
8,9,0,0,0,0,0,0
8,10,0,0,0,122528,1372,0
8,11,0,0,0,122424,1371,0
9,1,0,0,0,0,0,0
9,2,290601,3384,0,190971,1963,0
9,3,100054,731,0,18323,102,0
9,6,82194,614,0,20243,122,0
9,7,236623,3323,0,190311,1953,0
9,9,0,0,0,0,0,0
9,10,0,0,0,126714,1429,0
9,11,0,0,0,126714,1429,0
